,nome_logradouro_residencia,quantidade
0,VARZEA,0
1,COHAB,0
2,IPUTINGA,0
3,AGUA FRIA,0
4,AFOGADOS,0
5,IBURA,0
6,CORDEIRO,0
7,IMBIRIBEIRA,0
8,TORROES,0
9,BOA VIAGEM,0
10,SAN MARTIN,0
11,DOIS UNIDOS,0
12,CASA AMARELA,0
13,BOMBA DO HEMETERIO,0
14,JARDIM SAO PAULO,0
15,CAMPINA DO BARRETO,0
16,CAMPO GRANDE,1
17,AREIAS,0
18,JORDAO,0
19,NOVA DESCOBERTA,0
20,MADALENA,0
21,LINHA DO TIRO,0
22,CAXANGA,0
23,ARRUDA,0
24,BONGI,0
25,TORRE,0
26,MUSTARDINHA,0
27,BARRO,0
28,MACAXEIRA,0
29,PINA,0
30,IPSEP,0
31,MANGUEIRA,1
32,ENGENHO DO MEIO,0
33,ESTANCIA,0
34,BEBERIBE,0
35,COQUEIRAL,0
36,CORREGO DO JENIPAPO,0
37,FUNDAO,0
38,CAJUEIRO,0
39,TEJIPIO,0
40,VASCO DA GAMA,0
41,JIQUIA,0
42,ZUMBI,0
43,BRASILIA TEIMOSA,0
44,DOIS IRMAOS,0
45,ENCRUZILHADA,0
46,PEIXINHOS,0
47,PRADO,0
48,ROSARINHO,0
49,ALTO DO MANDU,0
50,CURADO,0
51,TOTO,0
52,PORTO DA MADEIRA,0
53,GRACAS,0
54,ILHA JOANA BEZERRA,0
55,PASSARINHO,0
56,BOA VISTA,0
57,CIDADE UNIVERSITARIA,0
58,SANCHO,0
59,ILHA DO RETIRO,0
60,SANTO AMARO,0
61,SITIO DOS PINTOS,0
62,SAO JOSE,0
63,ALTO SANTA TEREZINHA,0
64,ALTO JOSE DO PINHO,0
65,CASA FORTE,0
66,PONTO DE PARADA,0
67,MORRO DA CONCEICAO,0
68,BREJO DA GUABIRABA,0
69,CACOTE,0
70,POCO,0
71,TAMARINEIRA,1
72,GUABIRABA,0
73,ALTO JOSE BONIFACIO,0
74,APIPUCOS,0
75,COELHOS,0
76,BREJO DE BEBERIBE,0
77,MANGABEIRA,0
78,ESPINHEIRO,0
79,AFLITOS,0
80,RECIFE,0
81,CABANGA,0
82,HIPODROMO,0
83,DERBY,0
84,PARNAMIRIM,0
85,ILHA DO LEITE,0
86,MONTEIRO,0
87,SOLEDADE,0
88,SANTANA,0
89,JAQUEIRA,0
90,TORREAO,0
91,SANTO ANTONIO,0
92,PAISSANDU,0
93,PAU FERRO,0
