,nome_logradouro_residencia,quantidade
0,RUA ODETE MONTEIRO,35
1,AV CENTRAL,29
2,RUA SAO SEBASTIAO,27
3,RUA MASSARANDUBA,26
4,RUA TAPIREMA,25
5,RUA ZEFERINO AGRA,24
6,RUA TORRES HOMEM,24
7,RUA BAMBU,22
8,RUA ENGENHO NORUEGA,21
9,RUA VINTE E UM DE ABRIL,21
10,RUA UNDERVAL,20
11,RUA PIORINE,18
12,RUA HEMETERIO MACIEL,17
13,AV PROFESSOR JOSE DOS ANJOS,17
14,AV PROF JOSE DOS ANJOS,16
15,RUA SAO MIGUEL,16
16,ESTRADA DO ARRAIAL,16
17,RUA SALGUEIRO,16
18,RUA DA REGENERACAO,16
19,RUA RIBEIRO ROMA,15
20,RUA SILVESTRE,15
21,RUA ITAPIRANGA,14
22,RUA JOSE MOREIRA REIS,14
23,RUA PADRE GIORDANO,14
24,RUA BERILOS,14
25,RUA LADEIRA DE PEDRA,14
26,RUA TENENTE AURELIO VIEIRA,14
27,RUA FLOR DE MARIZ,13
28,RUA ALEGRE,13
29,AV BEBERIBE,13
30,AVENIDA BEBERIBE,13
31,RUA SANTO ANGELO,12
32,RUA LAURO DE SOUZA,12
33,RUA TENENTE MINDELO,12
34,RUA SEIS DE MARÃO,12
35,RUA CAMPOS SALES,12
36,AV SAO PAULO,12
37,RUA BOM JARDIM,12
38,RUA PADRE FERN?O CARDIM,12
39,RUA DAS MOCAS,11
40,TORRES HOMEM,11
41,RUA CORREGO DO JOAQUIM,11
42,RUA ANTONIO CARLOS,11
43,RUA DO RIO,11
44,RUA NOSSA SENHORA DO CARMO,11
45,RUA BRITANIA,11
46,AV BENIGNO JORDAO,11
47,RUA VEREADOR SERGIO XAVIER,10
48,RUA SANTO AMARO,10
49,AV SUL,10
50,RUA S?O MATEUS,10
51,RUA BOTOVI,10
52,RUA SERRA NOVA,10
53,RUA ENGENHO POETA,10
54,RUA MANOEL SILVA,10
55,RUA ADOLFO CAMINHA,10
56,RUA CELIA,10
57,RUA DOS COQUINHOS,10
58,RUA SAO JOSE,10
59,RUA ZUMBI DOS PALMARES,10
60,RUA PROFESSOR JOSE AMARINO DOS REIS,10
61,RUA JO?O SALES DE MENESES,10
62,RUA CARNEIRO DE MARIZ,9
63,AVENIDA ENGENHEIRO ABDIAS DE CARVALHO,9
64,RUA JOAO SALES DE MENEZES,9
65,RUA FRANCISCO LEOPOLDINO,9
66,RUA ONZE DE FEVEREIRO,9
67,RUA PEREIRA COUTINHO FILHO,9
68,RUA A,9
69,RUA GONCALVES CRESPO,9
70,RUA JULIO RAMOS,9
71,RUA MANOEL BUFONE PIRES,9
72,RUA SAPUCAGI,9
73,RUA ERNANI BRAGA,9
74,RUA SAO FRANCISCO,9
75,RUA JOSELANDIA,9
76,RUA SUCUPIRA,9
77,RUA JOSE DE HOLANDA,9
78,RUA TIUMA,9
79,RUA IGUATU,9
80,RUA CAMPOS TABAIARES,9
81,RUA MAURICIO DE ARAUJO,8
82,ESTRADA DO BARBALHO,8
83,RUA JOAO JULIO PROTETOR,8
84,RUA MOEMA,8
85,RUA TRES DE AGOSTO,8
86,AV MUSTARDINHA,8
87,RUA CARANDAI,8
88,RUA RIBEIRO PESSOA,8
89,RUA VISCONDE SABUGOSA,8
90,RUA CONTINENTAL,8
91,RUA PADRE DIOGO RODRIGUES,8
92,RUA LEANDRO BARRETO,8
93,RUA TEREZA CARNEIRO,8
94,RUA BOM CONSELHO,8
95,RUA BEIRA RIO,8
96,RUA CANADA,8
97,RUA ANTONIO MEIRA,8
98,BAMBU,8
99,RUA MARCILIO DIAS,8
100,RUA MAMEDE COELHO,8
101,RUA ASTOLFO DUTRA,8
102,RUA OUREM,8
103,RUA NOSSA SENHORA DA CONCEICAO,8
104,RUA REZENDE,7
105,RUA FIRMINO DE BARROS,7
106,RUA SANTO CRISTO,7
107,RUA DAS NEVES,7
108,RUA CORONEL FERNANDO FURTADO,7
109,RUA CONDE DE IRAJA,7
110,RUA VALE DO SIRIGI,7
111,RUA HEMET?RIO MACIEL,7
112,AV CHAPADA DO ARARIPE,7
113,RUA DO MACHADO,7
114,RUA JORNALISTA EDSON REGIS,7
115,RUA ENGENHO CARAU,7
116,RUA DOS CRAVEIROS,7
117,RUA DIVISOPOLIS,7
118,RUA MARQUES DE BAEPENDI,7
119,RUA DOS PEIXINHOS,7
120,RUA OCIDENTAL,7
121,RUA BREJO DA CRUZ,7
122,RUA NOVA OLINDA,7
123,RUA AUREA,7
124,RUA DOS PRAZERES,7
125,RUA CUITEGI,7
126,RUA ROSARIO DO OESTE,7
127,RUA JOS? TRIGUEIRO,7
128,AV ENGENHO MURIBARA,7
129,RUA SAO JOAO,7
130,RUA GUARITA,7
131,RUA ELADIO RAMOS,7
132,RUA HUGO NAPOLE?O,7
133,RUA EXPEDICIONARIO FRANCISCO VITORIANO,7
134,RUA PADRE HENRIQUE,7
135,RUA BELO ORIENTE,7
136,RUA SOUZA BANDEIRA,7
137,RUA EMILIANO BRAGA,7
138,RUA DAS MOÃAS,7
139,RUA SAO MARCOS,7
140,RUA TELES JUNIOR,7
141,RUA 13 DE JUNHO,7
142,RUA PARAGUASSU,7
143,RUA GUARANIS,7
144,RUA CANTOR JESSE,6
145,ODETE MONTEIRO,6
146,RUA ROCHA POMBO,6
147,RUA AGAMENON BEZERRA LAFAYETE,6
148,RUA PAULINO DE FARIAS,6
149,RUA LIBERDADE,6
150,RUA PATROCINIO,6
151,RUA ANGICO,6
152,RUA LAVINIA,6
153,RUA JOSE OSORIO,6
154,RUA LEILA FELIX KARAN,6
155,RUA DO BAMBU,6
156,RUA RAUL POMPEIA,6
157,RUA FELICIANO CASTILHO,6
158,RUA BONITO DE SANTA F?,6
159,RUA BOM PASTOR,6
160,AVENIDA PROFESSOR JOSE DOS ANJOS,6
161,RUA VISCONDE DE ALCANTARA,6
162,RUA DO FUTURO,6
163,RUA ALEXANDRE RODRIGUES FERREIRA,6
164,RUA CATURITE,6
165,RUA DOS NAVEGANTES,6
166,RUA DA VITORIA,6
167,RUA DA REGENERAÃ?O,6
168,RUA ENGENHO TITARA,6
169,ESTRADA DO BONGI,6
170,RUA APARECIDA,6
171,RUA JOSE TAVARES DE HOLANDA,6
172,RUA ROMEU WANDERLEY,6
